StudentID,GPA
6389419,3.42
1506647,2.85
3194378,2.66
8075154,3.03
2893278,3.18
7682089,3.04
8657923,2.96
6135192,2.85
5383877,3.14
8366117,2.07
1763147,3.63
8170112,2.48
3801880,3.46
5522563,2.83
3734418,2.53
2321581,3.04
7265493,2.78
7293483,3.28
7155556,2.45
7299449,2.96
4649082,3.11
7585537,2.93
2534739,2.2
1686225,3.31
8646830,2.67
3615391,2.83
7628397,2.32
4211303,3.33
5657948,2.56
7568057,2.91
5350793,2.8
9185026,2.84
2979534,2.89
4719166,3.07
8679096,2.68
4154367,1.98
8860440,3.27
2195112,3.52
1312508,2.97
1289731,3.05
4508236,2.74
5041406,2.58
8823672,3.04
4858444,3.03
7856764,2.15
7283206,2.62
7088987,2.82
8148808,2.36
4667858,2.98
2751420,3.55
8674277,3.05
6136873,3.04
4682507,2.15
6709451,2.36
7545251,2.94
6171559,2.98
4761431,3.09
4592113,3.58
8350841,3.07
9010122,3.18
7976097,3.29
5757289,2.5
6303659,3.33
2335603,2.57
7937139,2.91
6816332,3.27
6365888,2.71
6267888,3.21
7645366,2.73
4288436,3.47
2536019,3.38
5741655,2.92
3865470,2.62
2982984,2.73
4690971,2.68
7076611,2.89
9741054,2.37
2745215,2.39
1814519,2.6
7437469,3.02
6579304,2.95
3267052,3.19
7709079,2.61
6774856,3.19
7382537,3.05
7172729,2.73
3221302,2.78
1243290,3.35
6336479,3.26
8328954,2.75
9969339,3.01
3890166,2.85
7325785,3.14
4574560,3.43
3799952,2.72
5684060,2.51
9698998,3.16
1909635,2.93
6231900,2.82
4270759,2.83
5663705,2.72
2567417,2.97
9822174,2.82
2742561,3.14
6968778,2.71
4990616,3.04
6474968,3.2
9416762,3.42
9414707,2.92
8437429,2.98
2721992,2.78
9046391,2.34
9789533,2.8
2471918,2.86
6818511,3.3
8096679,2.77
8796043,2.49
9032380,3.35
9152068,3.04
7852160,3.45
9359695,3.1
3364334,2.76
8980059,2.97
1883095,2.14
4169109,2.77
7779005,3.18
1538064,3.15
4698096,3.07
5729729,3.1
1260110,2.61
3636887,3.01
7446187,2.88
5153715,2.71
9356503,3.05
1947530,2.66
7704622,2.53
9826416,2.44
1659453,3.05
5005179,3.24
2816135,3
8403053,3.21
8123332,2.94
2748056,2.71
9573641,2.55
5582942,3.17
1109248,2.89
2365200,2.59
4790681,2.68
7807481,3.19
9256487,3.16
2134910,2.56
2604123,3.07
3113550,3.55
2322085,2.85
5553296,2.27
6882086,2.29
9662210,3.24
5405556,2.54
7822289,3.17
9456410,3.21
2913692,2.97
1344003,3.15
8689409,2.92
4517305,3.09
8038647,2.68
5748086,3.35
1239090,2.99
3331172,2.98
9575977,3.18
5886704,3.57
4069085,2.77
1883909,3.12
7774770,3.06
5460583,3.03
4781726,3.13
6424299,3.18
3626069,2.95
8519918,2.89
7106964,2.86
3115843,2.55
