StudentID,Major,State,EFC,Year,FirstGen
6389419,Health Science,Washington,8288,2nd,0
1506647,Computer Engineering,New Jersey,11602,1st,1
3194378,Physics,Kansas,0,1st,1
8075154,Mechanical Engineering,Michigan,8627,4th+,1
2893278,Nursing,Kansas,21900,1st,0
9149397,Software Engineering,Kansas,2225,3rd,0
5110554,Health Science,Maine,0,4th+,1
5597932,Chemistry,New Hampshire,12716,2nd,0
3575610,Information Technology,North Carolina,12970,2nd,0
5817734,Philosophy,New York,634,1st,0
9757564,Art History,Idaho,4299,2nd,0
1693037,Sociology,Wisconsin,4091,1st,0
7914471,Anthropology,Minnesota,22477,3rd,0
9488450,Law,Michigan,3733,3rd,1
2594464,Chemistry,Illinois,4086,3rd,0
5273627,Electrical Engineering,South Dakota,0,4th+,1
3540465,Music,Minnesota,17260,1st,0
8905495,Philosophy,Delaware,9591,4th+,0
9698193,Veterinary Medicine,Kentucky,21513,1st,0
4623657,Geography,North Dakota,0,3rd,1
4636855,Hospitality Management,Louisiana,18209,3rd,0
4489890,Veterinary Medicine,Connecticut,0,4th+,1
9989503,Statistics,Delaware,23710,1st,1
3406048,Fine Arts,California,8856,1st,1
1663037,Physics,Wisconsin,20918,2nd,1
2094950,Aerospace Engineering,Idaho,12783,2nd,0
7333538,Chemistry,Colorado,11336,1st,0
2554850,Marketing,Connecticut,17047,3rd,0
7130530,Statistics,Missouri,10146,2nd,0
1386087,Pharmacy,Nebraska,20083,2nd,0
9019664,Marketing,Ohio,20105,1st,0
8020946,Software Engineering,Nebraska,24923,4th+,0
3480642,Geology,New Mexico,22085,3rd,0
2855523,Software Engineering,Wisconsin,0,3rd,1
9120328,Environmental Science,New Jersey,0,3rd,1
5859819,Mechanical Engineering,Minnesota,11633,3rd,0
8147066,History,Wisconsin,0,1st,1
7863293,Hospitality Management,South Dakota,12105,4th+,0
7629008,Religious Studies,North Dakota,9204,2nd,0
7135901,Theater Arts,Kansas,22320,4th+,1
5174852,Veterinary Medicine,North Dakota,5970,1st,0
7927998,Criminal Justice,Illinois,3734,3rd,1
3113370,Physics,Indiana,10521,3rd,0
9521510,Art History,Minnesota,8884,3rd,0
9046391,English,Alabama,12323,4th+,0
3586439,Industrial Engineering,Minnesota,15220,1st,0
7154709,Sociology,Nebraska,3395,2nd,1
8887654,Education,Iowa,26808,3rd,0
4353470,Communication,Washington,35584,4th+,1
1150912,Mechanical Engineering,Oregon,16910,4th+,0
3450490,Philosophy,Colorado,0,4th+,1
9628695,Information Technology,Ohio,15142,2nd,0
3403860,Education,Iowa,16642,1st,0
6437577,Philosophy,Wisconsin,17105,2nd,0
7960502,Classics,Nebraska,17917,3rd,1
3668725,Sociology,Wisconsin,12309,3rd,0
2939391,Law,Kansas,13124,2nd,0
6485977,Mathematics,Michigan,21947,3rd,0
4657956,Criminal Justice,New York,23645,3rd,0
